Id,Label,그룹,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,eigencentrality,원문,번역,
C12N15,C12N15,,,45,48594.13169,7,0.272331,0.300213,0.008301,9,0.205074,194,0.033495,,,
C07K14,C07K14,,,42,40050.48116,7,0.275809,0.302029,0.00278,9,0.310976,255,0.034171,,,
A01K1,A01K1,,,40,15964.18212,8,0.308133,0.334884,0.013941,8,0.125506,93,0.039253,,,
A01K13,A01K13,,,22,6912.253479,8,0.283976,0.306613,0.003649,8,0.247619,52,0.018235,,,
A01K23,A01K23,,,11,3702.44722,8,0.28605,0.304486,0.000505,30,0.555556,25,0.011276,,,
A01K27,A01K27,,,27,8629.548302,8,0.316402,0.341223,0.002565,26,0.273846,89,0.039858,,,
A01K29,A01K29,,,34,5862.578209,8,0.325906,0.354955,0.00364,26,0.232955,123,0.08998,,,
A47C13,A47C13,,,4,904.253052,9,0.240554,0.2529,0,8,1,3,0.002021,,,
A61F5,A61F5,,,19,3256.02697,8,0.310869,0.332576,0.001274,11,0.575163,88,0.087743,,,
A61G13,A61G13,,,13,2439.408318,8,0.270008,0.285526,0.000374,8,0.454545,30,0.010569,,,
A61G2203,A61G2203,,,15,4011.153229,8,0.301343,0.322592,0.000783,26,0.450549,41,0.036025,,,
B31B2110,B31B2110,,,7,1108.776543,8,0.26689,0.282039,0,30,1,15,0.007826,,,
B31B2120,B31B2120,,,7,2217.553085,8,0.26689,0.282039,0,30,1,15,0.007826,,,
B31B50,B31B50,,,8,10851.728,8,0.266952,0.282328,0.000259,30,0.761905,16,0.008052,,,
B60R3,B60R3,,,4,520.176071,9,0.240554,0.2529,0,8,1,3,0.002021,,,
B62B2202,B62B2202,,,28,5350.090912,8,0.260688,0.27927,0.002187,5,0.42735,150,0.01503,,,
B62B2203,B62B2203,,,18,5967.184776,8,0.259459,0.275563,0.00017,5,0.823529,112,0.011462,,,
B62B3,B62B3,,,18,4200.153214,8,0.259459,0.275563,0.00017,5,0.823529,112,0.011462,,,
B62B5,B62B5,,,15,3649.074684,8,0.265327,0.281729,0.000608,5,0.461538,42,0.00926,,,
B64D11,B64D11,,,5,6266.684303,8,0.263332,0.276551,0.000082,26,0.666667,4,0.00478,,,
B64D2011,B64D2011,,,4,359.937195,9,0.23688,0.2477,0,26,1,3,0.001636,,,
B65D5,B65D5,,,23,6260.255745,8,0.282449,0.302791,0.000708,30,0.380952,88,0.030193,,,
B65D81,B65D81,,,80,20117.2223,7,0.347206,0.382152,0.017987,11,0.211295,651,0.261568,,,
E01H1,E01H1,,,14,6169.203941,8,0.278501,0.296423,0.003902,30,0.358974,28,0.013152,,,
E01H2001,E01H2001,,,12,9190.298485,8,0.286263,0.305063,0.003129,30,0.490909,27,0.011552,,,
E04H12,E04H12,,,4,335.744934,9,0.249568,0.261846,0,26,1,3,0.002418,,,
E04H15,E04H15,,,8,1548.321068,9,0.260072,0.273721,0.000082,30,0.761905,16,0.004987,,,
E04H17,E04H17,,,8,3520.838829,9,0.260894,0.274507,0.000012,26,0.761905,16,0.005099,,,
E05Y2800,E05Y2800,,,21,5144.41301,8,0.307028,0.330604,0.000736,26,0.615789,117,0.059287,,,
