Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,eigencentrality
A47G2023,A47G2023,,8,1185.720657,5,0.333246,0.346668,0,6,0.952381,20,0.010892
A47G23,A47G23,,27,7482.36615,5,0.355152,0.373397,0.000045,6,0.750769,244,0.033638
B65D2231,B65D2231,,6,2902.855774,6,0.276648,0.285971,0,6,1,10,0.00129
B65D2543,B65D2543,,21,30405.734367,5,0.328847,0.343352,0.000102,6,0.463158,88,0.013981
B65D53,B65D53,,10,1948.032585,5,0.323877,0.337378,0,6,0.972222,35,0.011404
B67D2001,B67D2001,,16,29670.536266,5,0.346397,0.363304,0.000139,6,0.514286,54,0.022283
E03B9,E03B9,,6,931.329987,5,0.285289,0.295017,0,6,1,10,0.001925
G01C9,G01C9,,37,11860.336754,5,0.354463,0.373392,0.000669,6,0.425397,268,0.033911
A47G27,A47G27,,6,1702.004166,6,0.288248,0.297354,0,14,1,10,0.002057
A47L23,A47L23,,6,1702.004166,6,0.288248,0.297354,0,14,1,10,0.002057
B60J5,B60J5,,70,22393.906845,5,0.398421,0.424222,0.000532,15,0.379795,891,0.145755
B60P7,B60P7,,45,14182.901367,5,0.350864,0.371389,0.000332,14,0.334038,316,0.046786
B62B1,B62B1,,9,4321.999756,6,0.30442,0.314581,0,14,1,28,0.0037
B62B2204,B62B2204,,13,6519.386017,5,0.329752,0.342883,0.000026,14,0.636364,42,0.009126
B62B2205,B62B2205,,14,5378.699295,6,0.30617,0.317127,0.000005,14,0.653846,51,0.005532
B62B3,B62B3,,71,54539.101685,5,0.397101,0.422493,0.001898,14,0.194203,469,0.085005
B62B5,B62B5,,47,37523.752274,5,0.391868,0.415207,0.000631,14,0.256039,265,0.065232
B65D29,B65D29,,6,1702.004166,6,0.288248,0.297354,0,14,1,10,0.002057
E05D15,E05D15,,30,10379.412987,5,0.344933,0.36373,0.000016,15,0.662562,269,0.04013
E05F2017,E05F2017,,20,3982.881927,5,0.328312,0.342579,0,15,1,171,0.021643
E05Y2400,E05Y2400,,122,77587.158909,5,0.427219,0.455353,0.001058,15,0.279477,2029,0.253102
E05Y2800,E05Y2800,,69,26409.291695,5,0.403917,0.429336,0.000692,15,0.398595,908,0.151175
E06B7,E06B7,,20,4962.001953,5,0.357702,0.377164,0.000046,15,0.596491,102,0.048351
F16C2326,F16C2326,,41,8881.360901,5,0.343297,0.362982,0.000978,15,0.408974,319,0.041653
F16C29,F16C29,,20,3982.881927,5,0.328312,0.342579,0,15,1,171,0.021643
G01S15,G01S15,,77,42583.491692,5,0.396036,0.422137,0.00028,0,0.341404,973,0.166453
G08B23,G08B23,,48,11852.098709,5,0.396486,0.419552,0.000033,36,0.792784,857,0.115461
H01H3,H01H3,,36,9139.733315,5,0.384986,0.406926,0.000361,14,0.322689,192,0.069717
A47G2033,A47G2033,,17,2917.210159,5,0.368527,0.387226,0,15,0.958333,115,0.035335
A47G33,A47G33,,20,3644.087021,5,0.381882,0.402455,0.000013,15,0.777778,133,0.049023
F21L14,F21L14,,23,4153.112251,5,0.372463,0.39231,0.000009,15,0.753247,174,0.044496
H01M4,H01M4,,149,887671.964893,5,0.41363,0.445499,0.002795,10,0.142857,1554,0.16652
A47G2400,A47G2400,,6,1468.134979,6,0.298498,0.308364,0,6,1,10,0.003071
G06F15,G06F15,,19,5704.905167,5,0.35016,0.368904,0.000014,36,0.555556,85,0.040244
A47J2043,A47J2043,,7,3532.243927,6,0.283854,0.293452,0,6,1,15,0.001801
B01F7,B01F7,,27,32599.818825,5,0.31879,0.33266,0.000313,6,0.409231,133,0.008496
F25D2700,F25D2700,,39,20105.417828,5,0.374866,0.396772,0.001259,6,0.285917,201,0.040328
A47J41,A47J41,,10,2284.07373,6,0.318658,0.329275,0.000035,6,0.583333,21,0.005038
A61J1,A61J1,,62,40073.237831,5,0.388692,0.413186,0.001777,7,0.293989,538,0.090063
A61J9,A61J9,,7,3743.692596,6,0.285629,0.295668,0.000012,7,0.8,12,0.002092
B02C18,B02C18,,9,7003.893158,6,0.275951,0.285106,0.000015,5,0.714286,20,0.001358
B02C2018,B02C2018,,6,1566.300323,6,0.264588,0.272454,0,5,1,10,0.000848
B02C25,B02C25,,9,2503.341537,6,0.275951,0.285106,0.000015,5,0.714286,20,0.001358
B65D77,B65D77,,21,5571.312943,5,0.320575,0.332994,0.000091,6,0.5,95,0.006643
A47K1,A47K1,,2,846.402527,0,0,0,0,16,0,0,0.000079
A47K10,A47K10,,15,12212.557434,5,0.33729,0.351703,0.000118,36,0.32967,30,0.011079
A47K2010,A47K2010,,13,7184.466003,5,0.342929,0.358833,0.000008,36,0.560606,37,0.017659
D06F58,D06F58,,21,8172.302658,5,0.338331,0.353641,0.000704,9,0.347368,66,0.016512
F24H9,F24H9,,21,11698.568321,5,0.340766,0.357043,0.000135,5,0.384211,73,0.014496
F26B25,F26B25,,12,9465.674377,6,0.283581,0.293791,0.000005,9,0.8,44,0.002159
F26B9,F26B9,,24,8889.754929,5,0.332236,0.347988,0.000659,9,0.438735,111,0.020196
G03B29,G03B29,,28,5483.467484,5,0.369664,0.389473,0.000069,36,0.467236,164,0.050396
H04N9,H04N9,,84,78460.937546,5,0.408172,0.434563,0.000638,36,0.332354,1131,0.176674
A47K13,A47K13,,11,2932.568596,5,0.336167,0.349674,0,6,0.977778,44,0.011635
A61B10,A61B10,,26,10067.953064,5,0.342929,0.358942,0.000035,7,0.453333,136,0.032271
C12Q1,C12Q1,,34,14383.562607,5,0.363602,0.383985,0.000171,6,0.395833,209,0.058064
E03D11,E03D11,,23,9265.164856,5,0.352088,0.369373,0.00032,6,0.454545,105,0.023706
E03D2201,E03D2201,,11,2354.849129,5,0.336167,0.349674,0,6,0.977778,44,0.011635
E03D9,E03D9,,29,9323.951591,5,0.349045,0.366393,0.000403,6,0.330688,125,0.025135
G01N1,G01N1,,53,25240.701408,5,0.385489,0.408894,0.000767,6,0.26546,352,0.065822
A47K17,A47K17,,7,1044.959381,5,0.309955,0.319608,0,6,1,15,0.00551
E03D5,E03D5,,12,1915.766998,5,0.337855,0.352129,0.000012,6,0.527273,29,0.014706
H03K17,H03K17,,169,128868.546764,4,0.44097,0.471107,0.002419,0,0.233533,3276,0.341972
H03K2017,H03K2017,,44,14608.50103,5,0.384215,0.407117,0.000139,0,0.410853,371,0.088971
H03K2217,H03K2217,,99,54512.629292,5,0.418732,0.445707,0.000547,0,0.32632,1551,0.218637
A47K2005,A47K2005,,7,2697.084869,5,0.291755,0.301277,0,6,0.933333,14,0.001795
F16K15,F16K15,,22,4915.936066,5,0.363636,0.38236,0.000268,6,0.409524,86,0.027664
A47K2210,A47K2210,,8,1034.605316,5,0.340584,0.35564,0,7,0.904762,19,0.014477
B65D35,B65D35,,6,2009.891968,6,0.293946,0.303906,0,6,1,10,0.001595
F04B13,F04B13,,10,1904.090942,6,0.298452,0.308742,0,6,1,36,0.002419
F04B15,F04B15,,25,5530.732971,6,0.306414,0.319391,0.000086,6,0.416667,115,0.005808
F04B43,F04B43,,41,13925.692368,5,0.373515,0.394856,0.000547,5,0.275641,215,0.035113
G01F11,G01F11,,19,7435.154633,6,0.31502,0.327225,0.000051,6,0.45098,69,0.005246
A47L13,A47L13,,18,9535.408211,5,0.357936,0.376986,0.000032,6,0.375,51,0.031274
A47L2201,A47L2201,,27,19105.095558,5,0.380593,0.401964,0.000095,9,0.446154,145,0.0661
B25J9,B25J9,,152,142631.602325,4,0.428747,0.459094,0.00297,0,0.215188,2437,0.287438
G01S1,G01S1,,48,45582.287109,5,0.385373,0.408624,0.000044,36,0.559667,605,0.135983
G09F9,G09F9,,69,22932.706856,5,0.39776,0.422997,0.000262,12,0.354258,807,0.150911
A47L15,A47L15,,4,5166.852356,1,1,1,0,17,1,3,0.00025
A47L2401,A47L2401,,4,1291.713089,1,1,1,0,17,1,3,0.00025
A47L2501,A47L2501,,4,2583.426178,1,1,1,0,17,1,3,0.00025
B01D29,B01D29,,38,26255.687683,5,0.371922,0.393478,0.000532,6,0.39039,260,0.047125
B25J11,B25J11,,55,20339.270691,5,0.377671,0.401316,0.00049,0,0.310273,444,0.102254
B25J13,B25J13,,56,18339.054817,5,0.390036,0.413656,0.00052,0,0.253199,376,0.092561
D06F39,D06F39,,11,3696.258949,5,0.328031,0.341706,0.000413,9,0.533333,24,0.011305
E04H4,E04H4,,30,10519.206512,5,0.360053,0.379323,0.000357,6,0.295567,120,0.037938
G01C3,G01C3,,78,21902.495701,5,0.389007,0.415381,0.000421,36,0.321599,941,0.144243
H02G11,H02G11,,27,4840.771111,5,0.379089,0.400009,0.000038,15,0.393846,128,0.059038
